critical_role_id,position_id,worker_id,position_title,job_profile_id,supervisory_org_id,cost_center_id,criticality_level,business_impact,succession_required_flag,risk_if_vacant,target_successor_count,review_cycle
CR00000001,P00001218,W00001218,Consultant - Data and Analytics,JP000578,SO000077,CC001299,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000002,P00000454,W00000454,Analyst - Marketing,JP000305,SO000657,CC001317,High,Leadership Continuity,True,High,3,Mid-Year Talent Review
CR00000003,P00003919,W00003919,Manager - Finance,JP000397,SO002455,CC002009,Strategic,Enterprise Transformation,True,Severe,2,Annual Talent Review
CR00000004,P00002698,W00002698,Senior Consultant - Audit Assurance,JP000408,SO001970,CC000048,Medium,Regional Coverage,True,Moderate,3,Annual Talent Review
CR00000005,P00000960,W00000960,Analyst - Data and Analytics,JP000114,SO002227,CC001723,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000006,P00001981,W00001981,Consultant - Strategy Consulting,JP000480,SO002125,CC000276,Strategic,Revenue Continuity,True,Moderate,1,Annual Talent Review
CR00000007,P00002919,W00002919,Director - Audit Assurance,JP000573,SO001920,CC000246,Medium,Process Stability,True,Severe,2,Annual Talent Review
CR00000008,P00003571,W00003571,Intern - Audit Assurance,JP000562,SO001189,CC000832,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000009,P00004069,W00004069,Analyst - Data and Analytics,JP000473,SO000389,CC001679,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000010,P00002410,W00002410,Senior Manager - Marketing,JP000016,SO002079,CC002299,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000011,P00003873,W00003873,Analyst - Strategy Consulting,JP000550,SO002376,CC000841,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000012,P00003067,W00003067,Consultant - Audit Assurance,JP000266,SO000320,CC001678,Strategic,Regulatory / Compliance Risk,True,High,1,Annual Talent Review
CR00000013,P00001344,W00001344,Analyst - Human Resources,JP000501,SO000308,CC002455,Medium,Process Stability,True,High,2,Annual Talent Review
CR00000014,P00000468,W00000468,Analyst - Legal,JP000398,SO001302,CC002019,Strategic,Enterprise Transformation,True,High,3,Annual Talent Review
CR00000015,P00000026,W00000026,Senior Consultant - Human Capital,JP000479,SO000320,CC001678,High,Operational Resilience,True,High,3,Mid-Year Talent Review
CR00000016,P00004148,W00004148,Director - Technology Consulting,JP000599,SO002116,CC000999,High,Client Delivery Continuity,True,Severe,1,Mid-Year Talent Review
CR00000017,P00002208,W00002208,Director - Corporate Tax,JP000079,SO000851,CC000301,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000018,P00001722,W00001722,Analyst - Audit Assurance,JP000539,SO002095,CC002308,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000019,P00001891,W00001891,Analyst - Legal,JP000216,SO001060,CC001559,Strategic,Enterprise Transformation,True,Moderate,3,Annual Talent Review
CR00000020,P00003126,W00003126,Director - Legal,JP000488,SO000795,CC000717,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000021,P00000886,W00000886,Director - Information Technology,JP000413,SO000295,CC001269,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000022,P00003172,W00003172,Manager - Legal,JP000148,SO001367,CC000798,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000023,P00000215,W00000215,Senior Manager - Strategy Consulting,JP000133,SO001843,CC002424,Strategic,Regulatory / Compliance Risk,True,Moderate,1,Annual Talent Review
CR00000024,P00001228,W00001228,Consultant - Human Resources,JP000211,SO000563,CC000519,Strategic,Revenue Continuity,True,Severe,1,Annual Talent Review
CR00000025,P00000259,W00000259,Consultant - Marketing,JP000012,SO000458,CC000936,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000026,P00001757,W00001757,Consultant - Human Resources,JP000211,SO001871,CC002162,High,Client Delivery Continuity,True,High,1,Annual Talent Review
CR00000027,P00003349,W00003349,Consultant - Human Resources,JP000530,SO002092,CC000839,Medium,Specialized Knowledge Retention,True,Moderate,2,Mid-Year Talent Review
CR00000028,P00000158,W00000158,Senior Consultant - Cyber Risk,JP000164,SO000600,CC000309,High,Client Delivery Continuity,True,Severe,3,Mid-Year Talent Review
CR00000029,P00004995,W00004995,Senior Consultant - Human Resources,JP000112,SO001285,CC000454,High,Leadership Continuity,True,Moderate,2,Annual Talent Review
CR00000030,P00001204,W00001204,Analyst - Marketing,JP000177,SO001781,CC001751,Medium,Process Stability,True,Moderate,2,Mid-Year Talent Review
CR00000031,P00003388,W00003388,Consultant - Finance,JP000102,SO000320,CC001678,Medium,Process Stability,True,Severe,2,Annual Talent Review
CR00000032,P00000075,W00000075,Analyst - Information Technology,JP000506,SO000904,CC001576,Strategic,Revenue Continuity,True,Severe,1,Mid-Year Talent Review
CR00000033,P00001280,W00001280,Analyst - Cyber Risk,JP000444,SO000859,CC001583,High,Operational Resilience,True,Moderate,3,Mid-Year Talent Review
CR00000034,P00001940,W00001940,Analyst - Operations,JP000555,SO000478,CC002105,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000035,P00003988,W00003988,Analyst - Audit Assurance,JP000369,SO000222,CC000838,Medium,Regional Coverage,True,High,1,Mid-Year Talent Review
CR00000036,P00001376,W00001376,Consultant - Marketing,JP000219,SO000227,CC001532,High,Leadership Continuity,True,Severe,2,Mid-Year Talent Review
CR00000037,P00001689,W00001689,Consultant - Cyber Risk,JP000425,SO000230,CC000477,High,Leadership Continuity,True,High,3,Mid-Year Talent Review
CR00000038,P00000715,W00000715,Analyst - Regulatory Risk,JP000346,SO000630,CC001879,Medium,Process Stability,True,High,1,Mid-Year Talent Review
CR00000039,P00004321,W00004321,Senior Consultant - Mergers and Acquisitions,JP000296,SO002105,CC001147,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000040,P00000037,W00000037,Consultant - Mergers and Acquisitions,JP000202,SO002004,CC002177,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000041,P00001866,W00001866,Senior Consultant - Corporate Tax,JP000252,SO001694,CC000449,High,Leadership Continuity,True,High,3,Mid-Year Talent Review
CR00000042,P00004645,W00004645,Senior Consultant - Data and Analytics,JP000331,SO002267,CC000648,Strategic,Revenue Continuity,True,High,3,Annual Talent Review
CR00000043,P00000011,W00000011,Analyst - Marketing,JP000243,SO000817,CC000915,Medium,Process Stability,True,Moderate,3,Annual Talent Review
CR00000044,P00001295,W00001295,Manager - Legal,JP000313,SO001108,CC001633,High,Operational Resilience,True,Severe,3,Annual Talent Review
CR00000045,P00002054,W00002054,Intern - Legal,JP000441,SO000927,CC002273,Strategic,Regulatory / Compliance Risk,True,Severe,1,Annual Talent Review
CR00000046,P00002518,W00002518,Consultant - Strategy Consulting,JP000158,SO000514,CC002266,Strategic,Revenue Continuity,True,High,2,Annual Talent Review
CR00000047,P00002942,W00002942,Manager - Human Capital,JP000087,SO002237,CC001822,High,Leadership Continuity,True,Moderate,2,Annual Talent Review
CR00000048,P00002523,W00002523,Intern - Audit Assurance,JP000214,SO001785,CC000606,High,Leadership Continuity,True,Moderate,2,Annual Talent Review
CR00000049,P00001817,W00001817,Analyst - Technology Consulting,JP000467,SO002209,CC001900,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000050,P00004403,W00004403,Analyst - Human Capital,JP000108,SO001471,CC001529,High,Operational Resilience,True,Moderate,3,Mid-Year Talent Review
CR00000051,P00004015,W00004015,Intern - Technology Consulting,JP000084,SO001515,CC002465,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000052,P00000346,W00000346,Analyst - Information Technology,JP000506,SO001279,CC000048,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000053,P00001164,W00001164,Analyst - Strategy Consulting,JP000078,SO000218,CC001629,Medium,Process Stability,True,High,2,Annual Talent Review
CR00000054,P00004562,W00004562,Senior Consultant - Marketing,JP000037,SO000224,CC000353,Medium,Process Stability,True,Severe,2,Mid-Year Talent Review
CR00000055,P00004014,W00004014,Manager - Strategy Consulting,JP000386,SO000756,CC000063,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000056,P00000522,W00000522,Manager - Data and Analytics,JP000419,SO002241,CC001444,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000057,P00003431,W00003431,Senior Manager - Cyber Risk,JP000136,SO001785,CC000606,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000058,P00003845,W00003845,Intern - Marketing,JP000198,SO000696,CC001999,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000059,P00002079,W00002079,Consultant - Strategy Consulting,JP000480,SO000634,CC000142,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000060,P00003866,W00003866,Senior Consultant - Legal,JP000169,SO000821,CC001712,High,Operational Resilience,True,High,2,Mid-Year Talent Review
CR00000061,P00002477,W00002477,Manager - Information Technology,JP000071,SO000758,CC000972,Medium,Specialized Knowledge Retention,True,Severe,3,Annual Talent Review
CR00000062,P00002511,W00002511,Analyst - Information Technology,JP000033,SO001430,CC000472,Medium,Process Stability,True,High,2,Annual Talent Review
CR00000063,P00004823,W00004823,Consultant - Marketing,JP000040,SO002383,CC000893,Medium,Regional Coverage,True,Moderate,1,Mid-Year Talent Review
CR00000064,P00000141,W00000141,Director - Mergers and Acquisitions,JP000006,SO000250,CC002135,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000065,P00004769,W00004769,Senior Manager - Regulatory Risk,JP000517,SO002496,CC000294,Medium,Regional Coverage,True,High,1,Mid-Year Talent Review
CR00000066,P00002060,W00002060,Analyst - Information Technology,JP000260,SO001762,CC002032,Medium,Regional Coverage,True,Moderate,3,Annual Talent Review
CR00000067,P00002413,W00002413,Consultant - Cyber Risk,JP000298,SO001036,CC000219,Medium,Process Stability,True,Moderate,1,Annual Talent Review
CR00000068,P00001533,W00001533,Senior Consultant - Legal,JP000580,SO001372,CC001510,High,Operational Resilience,True,High,2,Mid-Year Talent Review
CR00000069,P00001892,W00001892,Manager - Technology Consulting,JP000511,SO002106,CC001948,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000070,P00002594,W00002594,Senior Manager - Cyber Risk,JP000061,SO000536,CC001927,High,Client Delivery Continuity,True,Severe,3,Annual Talent Review
CR00000071,P00000700,W00000700,Consultant - Regulatory Risk,JP000038,SO002333,CC000959,High,Client Delivery Continuity,True,Moderate,1,Mid-Year Talent Review
CR00000072,P00001895,W00001895,Analyst - Mergers and Acquisitions,JP000402,SO001219,CC000976,High,Operational Resilience,True,Moderate,1,Annual Talent Review
CR00000073,P00004655,W00004655,Senior Manager - Finance,JP000217,SO001311,CC001366,Strategic,Regulatory / Compliance Risk,True,High,1,Annual Talent Review
CR00000074,P00004838,W00004838,Manager - Technology Consulting,JP000141,SO002322,CC001758,High,Leadership Continuity,True,Severe,1,Annual Talent Review
CR00000075,P00004479,W00004479,Analyst - Technology Consulting,JP000363,SO000800,CC001871,High,Operational Resilience,True,High,1,Annual Talent Review
CR00000076,P00004824,W00004824,Analyst - Corporate Tax,JP000454,SO001501,CC002486,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000077,P00004521,W00004521,Partner - Technology Consulting,JP000195,SO001219,CC000976,High,Operational Resilience,True,Moderate,3,Annual Talent Review
CR00000078,P00004735,W00004735,Manager - Marketing,JP000477,SO000075,CC000540,Medium,Specialized Knowledge Retention,True,High,2,Mid-Year Talent Review
CR00000079,P00001625,W00001625,Consultant - Human Capital,JP000021,SO000373,CC002486,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000080,P00000191,W00000191,Senior Consultant - Data and Analytics,JP000331,SO001169,CC002137,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000081,P00000032,W00000032,Senior Consultant - Information Technology,JP000417,SO001846,CC002341,Medium,Specialized Knowledge Retention,True,Moderate,3,Mid-Year Talent Review
CR00000082,P00001131,W00001131,Consultant - Strategy Consulting,JP000207,SO000971,CC000806,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000083,P00004658,W00004658,Manager - Human Capital,JP000240,SO000169,CC000743,Strategic,Enterprise Transformation,True,Severe,3,Mid-Year Talent Review
CR00000084,P00000515,W00000515,Analyst - Operations,JP000459,SO000261,CC002378,High,Client Delivery Continuity,True,High,3,Annual Talent Review
CR00000085,P00002890,W00002890,Analyst - Cyber Risk,JP000371,SO002481,CC000469,High,Operational Resilience,True,High,2,Mid-Year Talent Review
CR00000086,P00000863,W00000863,Senior Consultant - Cyber Risk,JP000210,SO000579,CC001668,High,Leadership Continuity,True,Moderate,1,Annual Talent Review
CR00000087,P00001632,W00001632,Analyst - Human Capital,JP000464,SO000051,CC001117,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000088,P00003472,W00003472,Analyst - Human Capital,JP000108,SO001632,CC000856,Medium,Regional Coverage,True,High,2,Mid-Year Talent Review
CR00000089,P00002947,W00002947,Manager - Corporate Tax,JP000359,SO001149,CC002343,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000090,P00003576,W00003576,Analyst - Legal,JP000186,SO000741,CC001506,Medium,Specialized Knowledge Retention,True,Severe,2,Annual Talent Review
CR00000091,P00000956,W00000956,Senior Manager - Information Technology,JP000423,SO000494,CC001934,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000092,P00003510,W00003510,Manager - Information Technology,JP000023,SO001516,CC001591,Medium,Regional Coverage,True,Severe,2,Annual Talent Review
CR00000093,P00002705,W00002705,Consultant - Regulatory Risk,JP000081,SO000943,CC001322,High,Operational Resilience,True,Severe,1,Annual Talent Review
CR00000094,P00000478,W00000478,Consultant - Technology Consulting,JP000545,SO001557,CC000955,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000095,P00003864,W00003864,Analyst - Technology Consulting,JP000338,SO002315,CC002104,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000096,P00002278,W00002278,Analyst - Human Capital,JP000156,SO000017,CC001511,Medium,Specialized Knowledge Retention,True,Moderate,2,Annual Talent Review
CR00000097,P00002869,W00002869,Senior Consultant - Human Resources,JP000225,SO002433,CC000015,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000098,P00003796,W00003796,Senior Manager - Legal,JP000159,SO000628,CC000350,High,Leadership Continuity,True,High,1,Annual Talent Review
CR00000099,P00004294,W00004294,Analyst - Operations,JP000556,SO000007,CC001395,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000100,P00002370,W00002370,Analyst - Legal,JP000309,SO002343,CC000548,Strategic,Revenue Continuity,True,Severe,1,Annual Talent Review
CR00000101,P00004764,W00004764,Senior Consultant - Marketing,JP000540,SO000723,CC000197,Strategic,Regulatory / Compliance Risk,True,High,3,Annual Talent Review
CR00000102,P00003392,W00003392,Manager - Mergers and Acquisitions,JP000251,SO002310,CC000770,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000103,P00002504,W00002504,Consultant - Human Capital,JP000157,SO000436,CC000099,High,Leadership Continuity,True,Moderate,1,Annual Talent Review
CR00000104,P00000889,W00000889,Director - Audit Assurance,JP000573,SO001196,CC002371,Strategic,Revenue Continuity,True,High,2,Annual Talent Review
CR00000105,P00003016,W00003016,Consultant - Legal,JP000348,SO000310,CC001215,Medium,Process Stability,True,Moderate,2,Annual Talent Review
CR00000106,P00004499,W00004499,Senior Manager - Information Technology,JP000054,SO000509,CC002154,Medium,Regional Coverage,True,Severe,2,Annual Talent Review
CR00000107,P00004560,W00004560,Senior Manager - Information Technology,JP000423,SO001559,CC001303,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000108,P00001992,W00001992,Director - Mergers and Acquisitions,JP000586,SO002359,CC001399,High,Leadership Continuity,True,High,3,Annual Talent Review
CR00000109,P00004969,W00004969,Analyst - Marketing,JP000289,SO000446,CC000660,High,Operational Resilience,True,High,2,Mid-Year Talent Review
CR00000110,P00004404,W00004404,Consultant - Audit Assurance,JP000495,SO001497,CC002169,Strategic,Regulatory / Compliance Risk,True,High,2,Annual Talent Review
CR00000111,P00000652,W00000652,Senior Consultant - Human Resources,JP000013,SO001313,CC000298,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000112,P00002193,W00002193,Analyst - Mergers and Acquisitions,JP000324,SO001237,CC000321,High,Leadership Continuity,True,High,1,Annual Talent Review
CR00000113,P00003745,W00003745,Analyst - Strategy Consulting,JP000340,SO001378,CC001064,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000114,P00001115,W00001115,Consultant - Data and Analytics,JP000249,SO001274,CC000566,Medium,Process Stability,True,Moderate,1,Annual Talent Review
CR00000115,P00002466,W00002466,Senior Consultant - Legal,JP000070,SO001555,CC000840,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000116,P00000453,W00000453,Analyst - Data and Analytics,JP000559,SO002437,CC002033,Strategic,Regulatory / Compliance Risk,True,Moderate,1,Annual Talent Review
CR00000117,P00001778,W00001778,Senior Manager - Corporate Tax,JP000149,SO001496,CC001511,Medium,Regional Coverage,True,Severe,3,Annual Talent Review
CR00000118,P00002297,W00002297,Senior Consultant - Marketing,JP000581,SO000812,CC001708,Medium,Process Stability,True,Moderate,2,Mid-Year Talent Review
CR00000119,P00002281,W00002281,Senior Manager - Mergers and Acquisitions,JP000561,SO001291,CC000065,High,Client Delivery Continuity,True,High,3,Mid-Year Talent Review
CR00000120,P00001487,W00001487,Senior Consultant - Data and Analytics,JP000015,SO000481,CC001721,Medium,Specialized Knowledge Retention,True,Severe,2,Annual Talent Review
CR00000121,P00004160,W00004160,Analyst - Strategy Consulting,JP000022,SO001142,CC002441,Medium,Regional Coverage,True,Moderate,1,Annual Talent Review
CR00000122,P00001796,W00001796,Senior Consultant - Technology Consulting,JP000523,SO000727,CC001146,Medium,Process Stability,True,High,3,Mid-Year Talent Review
CR00000123,P00003793,W00003793,Analyst - Finance,JP000333,SO000909,CC000096,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000124,P00003842,W00003842,Analyst - Data and Analytics,JP000559,SO001807,CC000945,High,Operational Resilience,True,Moderate,2,Mid-Year Talent Review
CR00000125,P00004302,W00004302,Analyst - Corporate Tax,JP000427,SO000826,CC000649,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000126,P00003999,W00003999,Consultant - Human Resources,JP000268,SO002175,CC000454,Medium,Regional Coverage,True,Severe,2,Mid-Year Talent Review
CR00000127,P00000582,W00000582,Analyst - Information Technology,JP000442,SO002411,CC001456,High,Leadership Continuity,True,Severe,3,Mid-Year Talent Review
CR00000128,P00004062,W00004062,Consultant - Finance,JP000014,SO000944,CC000630,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000129,P00003370,W00003370,Director - Audit Assurance,JP000391,SO001525,CC002025,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000130,P00004555,W00004555,Director - Human Capital,JP000278,SO000166,CC000384,Medium,Process Stability,True,Moderate,2,Annual Talent Review
CR00000131,P00004462,W00004462,Consultant - Marketing,JP000165,SO000173,CC001144,High,Client Delivery Continuity,True,Moderate,2,Annual Talent Review
CR00000132,P00004875,W00004875,Senior Consultant - Mergers and Acquisitions,JP000090,SO001889,CC000677,Strategic,Regulatory / Compliance Risk,True,Moderate,3,Annual Talent Review
CR00000133,P00004616,W00004616,Director - Audit Assurance,JP000391,SO001786,CC002358,Medium,Specialized Knowledge Retention,True,Severe,2,Mid-Year Talent Review
CR00000134,P00000941,W00000941,Analyst - Legal,JP000312,SO000314,CC001213,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000135,P00001789,W00001789,Consultant - Finance,JP000102,SO000351,CC000285,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000136,P00003170,W00003170,Manager - Marketing,JP000322,SO001241,CC000721,High,Leadership Continuity,True,High,2,Mid-Year Talent Review
