job_profile_id,job_profile_name,job_family_id,job_level,exempt_status,is_people_manager_role
JP000001,Executive - Legal,JF012,Executive,Not Applicable,True
JP000002,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000003,Senior Consultant - Audit Assurance,JF001,Senior Consultant,Exempt,False
JP000004,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000005,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000006,Director - Mergers and Acquisitions,JF008,Director,Exempt,True
JP000007,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000008,Senior Consultant - Technology Consulting,JF003,Senior Consultant,Exempt,False
JP000009,Senior Consultant - Operations,JF015,Senior Consultant,Exempt,False
JP000010,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000011,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000012,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000013,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000014,Consultant - Finance,JF009,Consultant,Exempt,False
JP000015,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000016,Senior Manager - Marketing,JF013,Senior Manager,Exempt,True
JP000017,Analyst - Human Capital,JF005,Analyst,Non-Exempt,False
JP000018,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000019,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000020,Director - Strategy Consulting,JF004,Director,Exempt,True
JP000021,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000022,Analyst - Strategy Consulting,JF004,Analyst,Non-Exempt,False
JP000023,Manager - Information Technology,JF011,Manager,Exempt,True
JP000024,Analyst - Human Resources,JF010,Analyst,Non-Exempt,False
JP000025,Manager - Cyber Risk,JF006,Manager,Exempt,True
JP000026,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000027,Manager - Regulatory Risk,JF007,Manager,Exempt,True
JP000028,Manager - Regulatory Risk,JF007,Manager,Exempt,True
JP000029,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000030,Senior Consultant - Mergers and Acquisitions,JF008,Senior Consultant,Exempt,False
JP000031,Director - Mergers and Acquisitions,JF008,Director,Exempt,True
JP000032,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000033,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000034,Analyst - Cyber Risk,JF006,Analyst,Non-Exempt,False
JP000035,Consultant - Corporate Tax,JF002,Consultant,Exempt,False
JP000036,Consultant - Information Technology,JF011,Consultant,Exempt,False
JP000037,Senior Consultant - Marketing,JF013,Senior Consultant,Exempt,False
JP000038,Consultant - Regulatory Risk,JF007,Consultant,Exempt,False
JP000039,Consultant - Regulatory Risk,JF007,Consultant,Exempt,False
JP000040,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000041,Analyst - Human Resources,JF010,Analyst,Non-Exempt,False
JP000042,Manager - Operations,JF015,Manager,Exempt,True
JP000043,Manager - Corporate Tax,JF002,Manager,Exempt,True
JP000044,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000045,Manager - Cyber Risk,JF006,Manager,Exempt,True
JP000046,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000047,Senior Consultant - Marketing,JF013,Senior Consultant,Exempt,False
JP000048,Analyst - Cyber Risk,JF006,Analyst,Non-Exempt,False
JP000049,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000050,Consultant - Operations,JF015,Consultant,Exempt,False
JP000051,Senior Consultant - Mergers and Acquisitions,JF008,Senior Consultant,Exempt,False
JP000052,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000053,Analyst - Strategy Consulting,JF004,Analyst,Non-Exempt,False
JP000054,Senior Manager - Information Technology,JF011,Senior Manager,Exempt,True
JP000055,Senior Consultant - Regulatory Risk,JF007,Senior Consultant,Exempt,False
JP000056,Executive - Cyber Risk,JF006,Executive,Not Applicable,True
JP000057,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000058,Consultant - Legal,JF012,Consultant,Exempt,False
JP000059,Manager - Corporate Tax,JF002,Manager,Exempt,True
JP000060,Senior Consultant - Regulatory Risk,JF007,Senior Consultant,Exempt,False
JP000061,Senior Manager - Cyber Risk,JF006,Senior Manager,Exempt,True
JP000062,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000063,Analyst - Strategy Consulting,JF004,Analyst,Non-Exempt,False
JP000064,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000065,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000066,Manager - Regulatory Risk,JF007,Manager,Exempt,True
JP000067,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000068,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000069,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000070,Senior Consultant - Legal,JF012,Senior Consultant,Exempt,False
JP000071,Manager - Information Technology,JF011,Manager,Exempt,True
JP000072,Senior Consultant - Audit Assurance,JF001,Senior Consultant,Exempt,False
JP000073,Analyst - Mergers and Acquisitions,JF008,Analyst,Non-Exempt,False
JP000074,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000075,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000076,Senior Manager - Human Resources,JF010,Senior Manager,Exempt,True
JP000077,Senior Consultant - Technology Consulting,JF003,Senior Consultant,Exempt,False
JP000078,Analyst - Strategy Consulting,JF004,Analyst,Non-Exempt,False
JP000079,Director - Corporate Tax,JF002,Director,Exempt,True
JP000080,Partner - Corporate Tax,JF002,Partner,Not Applicable,True
JP000081,Consultant - Regulatory Risk,JF007,Consultant,Exempt,False
JP000082,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000083,Manager - Mergers and Acquisitions,JF008,Manager,Exempt,True
JP000084,Intern - Technology Consulting,JF003,Intern,Non-Exempt,False
JP000085,Manager - Operations,JF015,Manager,Exempt,True
JP000086,Senior Manager - Marketing,JF013,Senior Manager,Exempt,True
JP000087,Manager - Human Capital,JF005,Manager,Exempt,True
JP000088,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000089,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000090,Senior Consultant - Mergers and Acquisitions,JF008,Senior Consultant,Exempt,False
JP000091,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000092,Manager - Corporate Tax,JF002,Manager,Exempt,True
JP000093,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000094,Consultant - Operations,JF015,Consultant,Exempt,False
JP000095,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000096,Consultant - Finance,JF009,Consultant,Exempt,False
JP000097,Manager - Data and Analytics,JF014,Manager,Exempt,True
JP000098,Manager - Corporate Tax,JF002,Manager,Exempt,True
JP000099,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000100,Manager - Operations,JF015,Manager,Exempt,True
JP000101,Manager - Legal,JF012,Manager,Exempt,True
JP000102,Consultant - Finance,JF009,Consultant,Exempt,False
JP000103,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000104,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000105,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000106,Senior Consultant - Legal,JF012,Senior Consultant,Exempt,False
JP000107,Analyst - Human Resources,JF010,Analyst,Non-Exempt,False
JP000108,Analyst - Human Capital,JF005,Analyst,Non-Exempt,False
JP000109,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000110,Consultant - Operations,JF015,Consultant,Exempt,False
JP000111,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000112,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000113,Senior Manager - Technology Consulting,JF003,Senior Manager,Exempt,True
JP000114,Analyst - Data and Analytics,JF014,Analyst,Non-Exempt,False
JP000115,Manager - Strategy Consulting,JF004,Manager,Exempt,True
JP000116,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000117,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000118,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000119,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000120,Analyst - Human Capital,JF005,Analyst,Non-Exempt,False
JP000121,Analyst - Marketing,JF013,Analyst,Non-Exempt,False
JP000122,Senior Manager - Information Technology,JF011,Senior Manager,Exempt,True
JP000123,Consultant - Cyber Risk,JF006,Consultant,Exempt,False
JP000124,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000125,Director - Operations,JF015,Director,Exempt,True
JP000126,Senior Consultant - Information Technology,JF011,Senior Consultant,Exempt,False
JP000127,Analyst - Human Resources,JF010,Analyst,Non-Exempt,False
JP000128,Senior Consultant - Legal,JF012,Senior Consultant,Exempt,False
JP000129,Consultant - Information Technology,JF011,Consultant,Exempt,False
JP000130,Senior Manager - Corporate Tax,JF002,Senior Manager,Exempt,True
JP000131,Consultant - Information Technology,JF011,Consultant,Exempt,False
JP000132,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000133,Senior Manager - Strategy Consulting,JF004,Senior Manager,Exempt,True
JP000134,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000135,Analyst - Mergers and Acquisitions,JF008,Analyst,Non-Exempt,False
JP000136,Senior Manager - Cyber Risk,JF006,Senior Manager,Exempt,True
JP000137,Manager - Cyber Risk,JF006,Manager,Exempt,True
JP000138,Senior Manager - Corporate Tax,JF002,Senior Manager,Exempt,True
JP000139,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000140,Consultant - Operations,JF015,Consultant,Exempt,False
JP000141,Manager - Technology Consulting,JF003,Manager,Exempt,True
JP000142,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000143,Senior Manager - Regulatory Risk,JF007,Senior Manager,Exempt,True
JP000144,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000145,Senior Consultant - Operations,JF015,Senior Consultant,Exempt,False
JP000146,Senior Manager - Data and Analytics,JF014,Senior Manager,Exempt,True
JP000147,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000148,Manager - Legal,JF012,Manager,Exempt,True
JP000149,Senior Manager - Corporate Tax,JF002,Senior Manager,Exempt,True
JP000150,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000151,Consultant - Human Resources,JF010,Consultant,Exempt,False
JP000152,Consultant - Regulatory Risk,JF007,Consultant,Exempt,False
JP000153,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000154,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000155,Analyst - Data and Analytics,JF014,Analyst,Non-Exempt,False
JP000156,Analyst - Human Capital,JF005,Analyst,Non-Exempt,False
JP000157,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000158,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000159,Senior Manager - Legal,JF012,Senior Manager,Exempt,True
JP000160,Senior Consultant - Human Capital,JF005,Senior Consultant,Exempt,False
JP000161,Analyst - Cyber Risk,JF006,Analyst,Non-Exempt,False
JP000162,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000163,Director - Corporate Tax,JF002,Director,Exempt,True
JP000164,Senior Consultant - Cyber Risk,JF006,Senior Consultant,Exempt,False
JP000165,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000166,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000167,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000168,Analyst - Finance,JF009,Analyst,Non-Exempt,False
JP000169,Senior Consultant - Legal,JF012,Senior Consultant,Exempt,False
JP000170,Consultant - Finance,JF009,Consultant,Exempt,False
JP000171,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000172,Executive - Cyber Risk,JF006,Executive,Not Applicable,True
JP000173,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000174,Senior Consultant - Technology Consulting,JF003,Senior Consultant,Exempt,False
JP000175,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000176,Senior Consultant - Cyber Risk,JF006,Senior Consultant,Exempt,False
JP000177,Analyst - Marketing,JF013,Analyst,Non-Exempt,False
JP000178,Analyst - Cyber Risk,JF006,Analyst,Non-Exempt,False
JP000179,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000180,Analyst - Audit Assurance,JF001,Analyst,Non-Exempt,False
JP000181,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000182,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000183,Senior Consultant - Marketing,JF013,Senior Consultant,Exempt,False
JP000184,Analyst - Mergers and Acquisitions,JF008,Analyst,Non-Exempt,False
JP000185,Director - Strategy Consulting,JF004,Director,Exempt,True
JP000186,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000187,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000188,Senior Consultant - Corporate Tax,JF002,Senior Consultant,Exempt,False
JP000189,Manager - Data and Analytics,JF014,Manager,Exempt,True
JP000190,Analyst - Human Resources,JF010,Analyst,Non-Exempt,False
JP000191,Senior Consultant - Legal,JF012,Senior Consultant,Exempt,False
JP000192,Director - Technology Consulting,JF003,Director,Exempt,True
JP000193,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000194,Senior Manager - Cyber Risk,JF006,Senior Manager,Exempt,True
JP000195,Partner - Technology Consulting,JF003,Partner,Not Applicable,True
JP000196,Senior Consultant - Audit Assurance,JF001,Senior Consultant,Exempt,False
JP000197,Consultant - Regulatory Risk,JF007,Consultant,Exempt,False
JP000198,Intern - Marketing,JF013,Intern,Non-Exempt,False
JP000199,Senior Consultant - Human Capital,JF005,Senior Consultant,Exempt,False
JP000200,Manager - Audit Assurance,JF001,Manager,Exempt,True
JP000201,Consultant - Corporate Tax,JF002,Consultant,Exempt,False
JP000202,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000203,Analyst - Cyber Risk,JF006,Analyst,Non-Exempt,False
JP000204,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000205,Senior Consultant - Operations,JF015,Senior Consultant,Exempt,False
JP000206,Senior Manager - Cyber Risk,JF006,Senior Manager,Exempt,True
JP000207,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000208,Manager - Mergers and Acquisitions,JF008,Manager,Exempt,True
JP000209,Analyst - Cyber Risk,JF006,Analyst,Non-Exempt,False
JP000210,Senior Consultant - Cyber Risk,JF006,Senior Consultant,Exempt,False
JP000211,Consultant - Human Resources,JF010,Consultant,Exempt,False
JP000212,Analyst - Strategy Consulting,JF004,Analyst,Non-Exempt,False
JP000213,Consultant - Technology Consulting,JF003,Consultant,Exempt,False
JP000214,Intern - Audit Assurance,JF001,Intern,Non-Exempt,False
JP000215,Consultant - Regulatory Risk,JF007,Consultant,Exempt,False
JP000216,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000217,Senior Manager - Finance,JF009,Senior Manager,Exempt,True
JP000218,Director - Human Capital,JF005,Director,Exempt,True
JP000219,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000220,Manager - Finance,JF009,Manager,Exempt,True
JP000221,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000222,Consultant - Technology Consulting,JF003,Consultant,Exempt,False
JP000223,Senior Consultant - Strategy Consulting,JF004,Senior Consultant,Exempt,False
JP000224,Senior Consultant - Strategy Consulting,JF004,Senior Consultant,Exempt,False
JP000225,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000226,Manager - Corporate Tax,JF002,Manager,Exempt,True
JP000227,Consultant - Technology Consulting,JF003,Consultant,Exempt,False
JP000228,Consultant - Operations,JF015,Consultant,Exempt,False
JP000229,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000230,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000231,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000232,Senior Consultant - Marketing,JF013,Senior Consultant,Exempt,False
JP000233,Senior Consultant - Operations,JF015,Senior Consultant,Exempt,False
JP000234,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000235,Senior Manager - Corporate Tax,JF002,Senior Manager,Exempt,True
JP000236,Consultant - Human Resources,JF010,Consultant,Exempt,False
JP000237,Consultant - Finance,JF009,Consultant,Exempt,False
JP000238,Analyst - Marketing,JF013,Analyst,Non-Exempt,False
JP000239,Senior Consultant - Finance,JF009,Senior Consultant,Exempt,False
JP000240,Manager - Human Capital,JF005,Manager,Exempt,True
JP000241,Consultant - Operations,JF015,Consultant,Exempt,False
JP000242,Consultant - Finance,JF009,Consultant,Exempt,False
JP000243,Analyst - Marketing,JF013,Analyst,Non-Exempt,False
JP000244,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000245,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000246,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000247,Intern - Cyber Risk,JF006,Intern,Non-Exempt,False
JP000248,Partner - Information Technology,JF011,Partner,Not Applicable,True
JP000249,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000250,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000251,Manager - Mergers and Acquisitions,JF008,Manager,Exempt,True
JP000252,Senior Consultant - Corporate Tax,JF002,Senior Consultant,Exempt,False
JP000253,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000254,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000255,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000256,Senior Manager - Information Technology,JF011,Senior Manager,Exempt,True
JP000257,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000258,Manager - Corporate Tax,JF002,Manager,Exempt,True
JP000259,Analyst - Mergers and Acquisitions,JF008,Analyst,Non-Exempt,False
JP000260,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000261,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000262,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000263,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000264,Consultant - Human Resources,JF010,Consultant,Exempt,False
JP000265,Consultant - Finance,JF009,Consultant,Exempt,False
JP000266,Consultant - Audit Assurance,JF001,Consultant,Exempt,False
JP000267,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000268,Consultant - Human Resources,JF010,Consultant,Exempt,False
JP000269,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000270,Partner - Data and Analytics,JF014,Partner,Not Applicable,True
JP000271,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000272,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000273,Senior Manager - Audit Assurance,JF001,Senior Manager,Exempt,True
JP000274,Manager - Finance,JF009,Manager,Exempt,True
JP000275,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000276,Senior Consultant - Mergers and Acquisitions,JF008,Senior Consultant,Exempt,False
JP000277,Consultant - Cyber Risk,JF006,Consultant,Exempt,False
JP000278,Director - Human Capital,JF005,Director,Exempt,True
JP000279,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000280,Consultant - Finance,JF009,Consultant,Exempt,False
JP000281,Consultant - Human Resources,JF010,Consultant,Exempt,False
JP000282,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000283,Director - Corporate Tax,JF002,Director,Exempt,True
JP000284,Analyst - Legal,JF012,Analyst,Non-Exempt,False
JP000285,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000286,Senior Consultant - Marketing,JF013,Senior Consultant,Exempt,False
JP000287,Analyst - Technology Consulting,JF003,Analyst,Non-Exempt,False
JP000288,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000289,Analyst - Marketing,JF013,Analyst,Non-Exempt,False
JP000290,Analyst - Human Capital,JF005,Analyst,Non-Exempt,False
JP000291,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000292,Consultant - Mergers and Acquisitions,JF008,Consultant,Exempt,False
JP000293,Consultant - Operations,JF015,Consultant,Exempt,False
JP000294,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000295,Analyst - Audit Assurance,JF001,Analyst,Non-Exempt,False
JP000296,Senior Consultant - Mergers and Acquisitions,JF008,Senior Consultant,Exempt,False
JP000297,Senior Manager - Information Technology,JF011,Senior Manager,Exempt,True
JP000298,Consultant - Cyber Risk,JF006,Consultant,Exempt,False
JP000299,Senior Manager - Mergers and Acquisitions,JF008,Senior Manager,Exempt,True
