learning_course_id,course_code,course_title,course_category,development_focus_area,proficiency_level,delivery_method,provider,duration_hours,is_mandatory,certification_eligible,gen_ai_related,course_status,course_description
LC000001,LC-LEADERSHIP-0001,Leading High Performing Teams,Leadership,Leadership,Intermediate,Online Self-Paced,Technology Vendor,8,False,False,False,Active,Leading High Performing Teams supports development in Leadership at a intermediate proficiency level.
LC000002,LC-LEADERSHIP-0002,Situational Leadership for Managers,Leadership,Leadership,Intermediate,Online Self-Paced,Internal Learning,6,False,False,False,Active,Situational Leadership for Managers supports development in Leadership at a intermediate proficiency level.
LC000003,LC-LEADERSHIP-0003,Inclusive Leadership Essentials,Leadership,Leadership,Foundational,Online Self-Paced,University Partner,4,False,False,False,Active,Inclusive Leadership Essentials supports development in Leadership at a foundational proficiency level.
LC000004,LC-PEOPLEMANAGEMENT-0004,Coaching and Feedback Conversations,People Management,People Management,Foundational,Online Self-Paced,External Provider,4,False,False,False,Active,Coaching and Feedback Conversations supports development in People Management at a foundational proficiency level.
LC000005,LC-PEOPLEMANAGEMENT-0005,Managing Performance and Development,People Management,People Management,Intermediate,Online Self-Paced,External Provider,6,False,False,False,Active,Managing Performance and Development supports development in People Management at a intermediate proficiency level.
LC000006,LC-LEADERSHIP-0006,Executive Presence and Storytelling,Leadership,Executive Presence,Advanced,Virtual Instructor-Led,Internal Learning,6,False,False,False,Active,Executive Presence and Storytelling supports development in Executive Presence at a advanced proficiency level.
LC000007,LC-STRATEGY-0007,Strategic Thinking for Client Leaders,Strategy,Strategic Thinking,Advanced,Virtual Instructor-Led,Internal Learning,8,False,False,False,Active,Strategic Thinking for Client Leaders supports development in Strategic Thinking at a advanced proficiency level.
LC000008,LC-CLIENTDELIVERY-0008,Trusted Advisor Foundations,Client Delivery,Client Relationship Management,Intermediate,Online Self-Paced,Internal Learning,6,False,False,False,Active,Trusted Advisor Foundations supports development in Client Relationship Management at a intermediate proficiency level.
LC000009,LC-CLIENTDELIVERY-0009,Advanced Client Relationship Management,Client Delivery,Client Relationship Management,Advanced,Online Self-Paced,University Partner,8,False,False,False,Active,Advanced Client Relationship Management supports development in Client Relationship Management at a advanced proficiency level.
LC000010,LC-INDUSTRY-0010,Industry Trends and Market Forces,Industry,Industry Expertise,Intermediate,Blended,Professional Association,5,False,False,False,Active,Industry Trends and Market Forces supports development in Industry Expertise at a intermediate proficiency level.
LC000011,LC-DIGITAL-0011,Digital Transformation Strategy,Digital,Digital Transformation,Intermediate,External Certification,Internal Learning,8,False,False,False,Active,Digital Transformation Strategy supports development in Digital Transformation at a intermediate proficiency level.
LC000012,LC-DIGITAL-0012,Enterprise Transformation Delivery,Digital,Digital Transformation,Advanced,Virtual Instructor-Led,Internal Learning,10,False,False,False,Active,Enterprise Transformation Delivery supports development in Digital Transformation at a advanced proficiency level.
LC000013,LC-DATA-0013,Data Analytics Fundamentals,Data,Data Analytics,Foundational,Virtual Instructor-Led,Internal Learning,6,False,False,False,Active,Data Analytics Fundamentals supports development in Data Analytics at a foundational proficiency level.
LC000014,LC-DATA-0014,Advanced Analytics for Business Decisions,Data,Data Analytics,Advanced,Blended,Professional Association,10,False,True,False,Active,Advanced Analytics for Business Decisions supports development in Data Analytics at a advanced proficiency level.
LC000015,LC-DATA-0015,Data Visualization for People Analytics,Data,Data Analytics,Intermediate,Online Self-Paced,Internal Learning,6,False,False,False,Active,Data Visualization for People Analytics supports development in Data Analytics at a intermediate proficiency level.
LC000016,LC-CYBERSECURITY-0016,Cybersecurity Risk Fundamentals,Cybersecurity,Cybersecurity,Foundational,Online Self-Paced,Internal Learning,6,False,False,False,Active,Cybersecurity Risk Fundamentals supports development in Cybersecurity at a foundational proficiency level.
LC000017,LC-CYBERSECURITY-0017,Cyber Risk Advisory Practitioner,Cybersecurity,Cybersecurity,Advanced,Online Self-Paced,External Provider,10,False,True,False,Active,Cyber Risk Advisory Practitioner supports development in Cybersecurity at a advanced proficiency level.
LC000018,LC-AIANDGENAI-0018,GenAI Fundamentals for Professionals,AI & GenAI,AI & GenAI,Foundational,Online Self-Paced,Technology Vendor,4,False,False,True,Active,GenAI Fundamentals for Professionals supports development in AI & GenAI at a foundational proficiency level.
LC000019,LC-AIANDGENAI-0019,Prompt Engineering for Business Users,AI & GenAI,AI & GenAI,Intermediate,Virtual Instructor-Led,Internal Learning,6,False,False,True,Active,Prompt Engineering for Business Users supports development in AI & GenAI at a intermediate proficiency level.
LC000020,LC-AIANDGENAI-0020,GenAI for Client Delivery,AI & GenAI,AI & GenAI,Intermediate,Classroom,External Provider,8,False,False,True,Active,GenAI for Client Delivery supports development in AI & GenAI at a intermediate proficiency level.
LC000021,LC-AIANDGENAI-0021,Responsible AI and AI Governance,AI & GenAI,AI & GenAI,Intermediate,Virtual Instructor-Led,Internal Learning,6,True,False,True,Active,Responsible AI and AI Governance supports development in AI & GenAI at a intermediate proficiency level.
LC000022,LC-AIANDGENAI-0022,AI Product Management and Transformation,AI & GenAI,AI & GenAI,Advanced,Online Self-Paced,Technology Vendor,12,False,True,True,Active,AI Product Management and Transformation supports development in AI & GenAI at a advanced proficiency level.
LC000023,LC-AIANDGENAI-0023,Building AI Use Cases with Business Teams,AI & GenAI,AI & GenAI,Advanced,Virtual Instructor-Led,University Partner,10,False,True,True,Active,Building AI Use Cases with Business Teams supports development in AI & GenAI at a advanced proficiency level.
LC000024,LC-CLOUD-0024,Cloud Fundamentals,Cloud,Cloud Technologies,Foundational,Blended,Technology Vendor,6,False,False,False,Active,Cloud Fundamentals supports development in Cloud Technologies at a foundational proficiency level.
LC000025,LC-CLOUD-0025,Cloud Architecture for Consultants,Cloud,Cloud Technologies,Advanced,Online Self-Paced,External Provider,12,False,True,False,Active,Cloud Architecture for Consultants supports development in Cloud Technologies at a advanced proficiency level.
LC000026,LC-PROJECTMANAGEMENT-0026,Project Management Essentials,Project Management,Project Management,Foundational,Virtual Instructor-Led,Internal Learning,8,False,False,False,Active,Project Management Essentials supports development in Project Management at a foundational proficiency level.
LC000027,LC-PROJECTMANAGEMENT-0027,Agile Delivery Foundations,Project Management,Project Management,Intermediate,Online Self-Paced,External Provider,6,False,False,False,Active,Agile Delivery Foundations supports development in Project Management at a intermediate proficiency level.
LC000028,LC-FINANCE-0028,Financial Acumen for Consultants,Finance,Financial Acumen,Foundational,Online Self-Paced,Internal Learning,5,False,False,False,Active,Financial Acumen for Consultants supports development in Financial Acumen at a foundational proficiency level.
LC000029,LC-COMMUNICATION-0029,Business Writing and Executive Communication,Communication,Communication Skills,Foundational,Blended,Internal Learning,4,False,False,False,Active,Business Writing and Executive Communication supports development in Communication Skills at a foundational proficiency level.
LC000030,LC-COMMUNICATION-0030,Difficult Conversations and Influence,Communication,Communication Skills,Intermediate,Online Self-Paced,External Provider,6,False,False,False,Active,Difficult Conversations and Influence supports development in Communication Skills at a intermediate proficiency level.
LC000031,LC-PEOPLEMANAGEMENT-0031,Developing Others Through Coaching,People Management,Coaching Others,Intermediate,Blended,Internal Learning,5,False,False,False,Active,Developing Others Through Coaching supports development in Coaching Others at a intermediate proficiency level.
LC000032,LC-OPERATIONS-0032,Process Excellence and Continuous Improvement,Operations,Operational Excellence,Intermediate,Blended,External Provider,6,False,False,False,Active,Process Excellence and Continuous Improvement supports development in Operational Excellence at a intermediate proficiency level.
LC000033,LC-OPERATIONS-0033,Data Quality and Operational Controls,Operations,Operational Excellence,Intermediate,External Certification,Internal Learning,5,True,False,False,Active,Data Quality and Operational Controls supports development in Operational Excellence at a intermediate proficiency level.
LC000034,LC-COMPLIANCE-0034,Annual Code of Conduct,Compliance,Risk & Compliance,Foundational,Online Self-Paced,Internal Learning,2,True,False,False,Active,Annual Code of Conduct supports development in Risk & Compliance at a foundational proficiency level.
LC000035,LC-COMPLIANCE-0035,Data Privacy and Information Security,Compliance,Risk & Compliance,Foundational,Online Self-Paced,Internal Learning,3,True,False,False,Active,Data Privacy and Information Security supports development in Risk & Compliance at a foundational proficiency level.
LC000036,LC-COMPLIANCE-0036,Anti-Bribery and Independence Basics,Compliance,Risk & Compliance,Foundational,Classroom,Internal Learning,3,True,False,False,Active,Anti-Bribery and Independence Basics supports development in Risk & Compliance at a foundational proficiency level.
LC000037,LC-BUSINESSDEVELOPMENT-0037,Proposal Development and Pursuit Strategy,Business Development,Business Development,Intermediate,Online Self-Paced,University Partner,6,False,False,False,Active,Proposal Development and Pursuit Strategy supports development in Business Development at a intermediate proficiency level.
LC000038,LC-BUSINESSDEVELOPMENT-0038,Consultative Selling for Professional Services,Business Development,Business Development,Advanced,Classroom,Internal Learning,8,False,False,False,Active,Consultative Selling for Professional Services supports development in Business Development at a advanced proficiency level.
LC000039,LC-CERTIFICATION-0039,Professional Certification Preparation,Certification,Learning & Certification,Advanced,Blended,Technology Vendor,20,False,True,False,Active,Professional Certification Preparation supports development in Learning & Certification at a advanced proficiency level.
LC000040,LC-CERTIFICATION-0040,Role-Based Capability Curriculum,Certification,Learning & Certification,Intermediate,Online Self-Paced,External Provider,15,False,True,False,Active,Role-Based Capability Curriculum supports development in Learning & Certification at a intermediate proficiency level.
